steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
100000	814	616.135308265686	371.433880244321	376.0700127982957	83.71477458844758	576.7476377844462	56.88845793477607	165.69356	7.4649734	48.62839809417724	-0.013476752461865544	15360	0.9384626458014426
200000	1116	1354.70561170578	1302.7371852066854	1191.053213227986	659.5476023346272	2731.8455034970857	57.9772769551056	340.13388	6.7254176	733.5415040588379	-0.035860623195767403	31040	0.818534547280001
300000	1290	2094.908570289612	1480.4186437258272	1382.5542386734594	725.7787109442568	2944.7971676300476	37.215911642610784	315.25375	6.444158	380.6126681518555	-0.04517054731026292	46720	0.894827496450129
400000	1433	2856.5708043575287	1753.8761364293134	1839.5997791433392	767.7391742571004	2953.5373008582073	56.85949500342885	445.32364	5.9388084	316.1302709197998	-0.041592734912410376	62400	0.8867844432274066
500000	1571	3674.6909713745117	2127.553372014867	2380.3534378040517	684.9170702116653	3110.2925402167393	88.94900094301451	445.5185	5.573628	1478.877961883545	-0.04644001631066203	78080	0.8127029093837459
600000	1700	4493.5974152088165	2284.521830882344	2671.4427596078185	871.1435415649174	3051.513890657599	43.14784655684419	440.92926	4.925634	1616.860114364624	-0.03537337614223361	93440	0.7913754677161959
700000	1820	5306.994207382202	2370.0694518742794	2712.161973591471	799.0819560944808	3279.8883203654323	70.4184676598619	490.34067	4.5427537	605.6671189880371	-0.06013924352824688	109120	0.872384311241343
800000	1938	6129.32248210907	2556.792199179902	2945.8726076085495	739.4880678082609	3318.5153603011445	841.2755491576554	533.2385	4.400802	3707.2807385253905	-0.047725298404693604	124800	0.03865383872095485
900000	2059	6974.897779941559	2670.9215962895764	2924.8584109637395	660.964403531863	3432.9314492091576	144.89250277606683	507.187	4.0162425	2460.345765686035	-0.04166386138647795	140480	0.08461557939869535
1000000	2176	7795.519562244415	2684.34758711762	3070.0296108273296	790.4496784972015	3457.823139178082	403.8622436325958	538.4047	3.6365573	3719.3498474121093	-0.04705330358818174	156160	0.5764649038883828
1100000	2299	8616.38387966156	2799.113947690501	3165.3939150673777	708.9311841675193	3604.193824789742	878.0356494008158	493.50842	2.9390993	1519.6905584716797	-0.055999626396223905	171840	0.7244781233119888
1200000	2410	9464.31503534317	2904.6498229215945	3184.7940562461727	679.1640604481713	3356.7915158785418	613.1157979550172	512.1268	2.523149	1745.583917541504	-0.04377737108618021	187200	0.6475818013191548
1300000	2524	10332.797617435455	2868.0746086164027	3037.9246068418897	517.9061335894042	3324.0669027994927	1043.5104941506625	519.8483	1.982481	2258.5724676513673	-0.04806841342709958	202880	-0.01472563509902125
1400000	2637	11180.079380989075	3002.948171095022	3204.306210441202	565.5833100202068	3521.132473631663	947.4972007696357	569.5718	1.48132	4722.081162109375	-0.05066882506944239	218560	0.33930060799049166
