steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
100000	100	777.5517199039459	-240.8177979579158	-238.36704857600478	36.14906850466897	-167.04005210281014	-318.8851011718366	-43.094963	5.8336964	36.65627435684204	-0.027143946699798107	15360	0.14025160354758726
200000	200	1560.4297530651093	458.95672546613207	461.5620041465777	26.216481823322727	515.2936794767636	375.76735883777025	63.1219	3.2697792	62.930418243408205	-0.02974925758317113	31040	0.010106954365098786
300000	300	2342.1988620758057	604.8601254435324	609.6313330135154	37.17799081837696	685.4760916364751	485.5310056445566	101.847824	2.7466571	228.92020957946778	-0.03032808064483106	46720	0.024060700039862715
400000	400	3127.5191061496735	744.5776208931943	744.9645147268343	47.301124567875156	872.6601691301628	484.3507261884078	115.43349	2.1474493	195.4656861114502	-0.032080508721992376	62400	0.23074625249927283
500000	500	3906.445657014847	1172.3068209168914	1283.7535048997702	251.86235520004283	1565.2066646181804	721.2146349756613	210.09116	1.6005627	488.1888859558105	-0.03770488301292062	78080	0.8470527906763136
600000	600	4688.422583818436	1330.1673746509648	1325.9611765681561	390.2575795383255	1931.1717195309775	740.5030766532519	148.95572	1.2977083	917.0383653259278	-0.045348065476864576	93440	0.8942248747139178
700000	700	5469.700603246689	1465.7440616140564	1464.7405215679707	486.621960412994	2215.0949106871467	664.2054601199419	116.53689	0.8162727	413.21747261047364	-0.043762810407206414	109120	0.9458422806465567
800000	800	6248.143960952759	1960.0201627404797	2117.011306950839	424.41669831010023	2350.5744890946494	790.7984499942578	349.29962	0.50675106	680.8252644348145	-0.042941767927259206	124800	0.9171680637303645
900000	900	7030.990795612335	2199.1669540771263	2335.047523463828	394.36408375584773	2536.7827280208603	663.6415228616759	367.76358	0.18548913	2078.9648930358885	-0.03393235433846712	140480	-0.010690686080625733
1000000	1000	7813.991187572479	2418.030706708404	2594.488386663991	463.9692346283655	2743.2097300010405	715.761079120444	430.76425	0.24486114	2174.2566552734374	-0.040564643228426574	156160	0.9192718344777882
1100000	1100	8593.305731773376	2273.831914771742	2628.0207955255955	650.4653545295847	2920.0475883075624	699.541523973264	434.1625	0.12639917	2307.1260400390624	-0.034998937817290424	171840	0.9516734880883156
1200000	1200	9370.608171224594	2413.0213904800726	2826.194679943769	811.2523972330874	3053.7414133873312	-241.165329605328	448.15106	0.27751637	2919.475414428711	-0.033454563524574044	187200	-0.051229065394343465
1300000	1300	10152.045090913773	2509.0068508771797	2832.1711861398753	723.1172909374322	3065.025109488504	211.33706926786374	470.9241	0.17264651	3087.567342224121	-0.039135196199640634	202880	-0.004012860590442369
1400000	1400	10934.810060977936	2671.1642186447134	2881.847999735548	582.9688678630807	3020.045221451122	14.388757296706672	486.18826	0.15687273	3235.6141902160643	-0.029910561107099057	218560	-0.00292633416708199
1500000	1500	11713.748063087463	2758.6137696691553	2966.5943972646273	592.2534412187116	3169.0608562158486	410.5260485369539	476.85846	0.23376727	3076.059090576172	-0.04314467971213162	234240	-0.19164617398184491
1600000	1600	12492.684825181961	2233.781683917437	2788.7175521589456	918.4823259551356	3071.4328312239027	146.98571837974222	485.2757	0.09494918	3227.6691360473633	-0.03550683295354247	249920	-0.03503444888855012
1700000	1700	13271.89242720604	2586.2022383120593	2957.8838933432535	804.1863755947446	3145.737841556416	-207.45845377114154	249.91098	-0.18622799	4511.787435913086	-0.035473464988172054	265600	0.8709337979899945
1800000	1800	14043.920362234116	2013.0307326423826	2195.141119584344	1007.094371509187	3206.670823675416	82.37684827339598	290.61945	-0.10693455	2093.3439169311523	-0.03571327978745103	280960	0.9536835955848072
1900000	1900	14814.452884197235	2920.920362827581	2985.3196653533532	358.27369161738125	3167.404990881674	832.4703758685584	479.7604	-0.33609673	3787.5732135009766	-0.04881070069037378	296640	0.9176854632822289
2000000	2000	15586.619756221771	2691.1595800985638	3024.049432811113	767.9608355325129	3305.8627038648174	370.9669550210705	506.28876	-0.49754998	3736.963172302246	-0.026792301358655096	312320	0.04622757435024161
2100000	2100	16357.123059034348	2761.8274379231116	3103.7326436131316	792.1021656976008	3350.840011764279	393.70617846388535	506.25644	-0.55188966	3363.429043273926	-0.04167708331719041	328000	0.8181344176038122
2200000	2200	17125.872794389725	1996.7861166095227	1853.4906241425301	970.1111988305062	3285.516093372281	259.2691333145907	503.64194	-0.8486615	3727.9577069091797	-0.03620405949652195	343680	-0.00928252272922836
2300000	2300	17897.200411319733	2561.128466675702	2999.4900315291807	801.7012686606154	3229.8316444080424	676.4836149916936	510.86374	-0.819501	3691.1189190673826	-0.034799876529723404	359360	-0.0049927246942511605
2400000	2400	18663.31018924713	2543.808738966154	2999.081300096206	814.9471034254096	3175.2425951542054	381.08730672300965	490.82565	-0.69979286	1111.396593322754	-0.04577479027211666	374720	0.9430139463221793
2500000	2500	19428.655093193054	2798.067858815787	2865.176955272999	331.3595573256683	3048.5751310714113	890.4036462965165	487.66702	-0.62476635	3449.7009533691407	-0.02827840603888035	390400	-0.003778578921017628
