steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
100000	821	643.4206881523132	366.20568788195783	359.2323387264044	61.34882558143616	545.919656196214	177.0454131188746	165.7908	7.51854	64.81247951507568	-0.0199080182146281	15360	0.9560307817367757
200000	1133	1437.3876004219055	1160.7524877449387	1194.4828769853052	519.2867408723248	1928.6783330544624	69.84776483194783	251.14957	7.0006046	150.8772393798828	-0.034125402066856624	31040	0.8241516627087567
300000	1293	2252.0699603557587	1648.3035380486544	1723.1901703678286	678.4266616658339	2574.315203883604	214.75291023933787	353.92908	6.152616	415.65991455078125	-0.04085342409089208	46720	0.8829482457351049
400000	1420	3093.0210778713226	2015.408426747185	2314.3288741559127	605.0344532847352	2727.6875760056346	40.103424436786796	413.24945	5.8257565	1472.585258026123	-0.027784010749310254	62400	0.7533278595802718
500000	1548	3947.747005224228	2160.7184003402845	2461.918265985108	562.6625235996327	3093.1231666904628	587.1451249605987	437.6015	5.671718	1582.749555053711	-0.03743052316829562	78080	-0.06764123780731657
600000	1676	4809.388805389404	2305.255411101404	2593.157996137994	631.9104629023914	2913.8305257817797	419.6112386205838	414.0841	5.5074334	1798.2191622924804	-0.04191842089407146	93440	0.8034633899637856
700000	1792	5689.981506824493	2472.3449236104616	2709.5442101100834	594.1625901856492	3200.4698046998647	486.88995741794224	470.69308	5.518603	614.7272570800782	-0.04887684267014265	109120	0.8022921068449904
800000	1915	6547.250226974487	2448.6603405056935	2838.1059941682197	787.4790880610243	3120.0366637523084	298.78691879133174	495.5898	5.2410655	1952.4363189697265	-0.03855903199873865	124800	0.5894001533704232
900000	2032	7433.6198387146	2756.122445227517	2949.5471604398263	570.3761127644464	3180.908338585383	634.6471365460601	525.67426	4.497185	3878.1154373168947	-0.03604052603244781	140480	-0.09092299528871228
1000000	2142	8324.568536520004	2808.7696738614227	2980.665025223747	532.5421229880233	3174.635218638433	318.91019708741266	504.85968	4.2257304	613.8265808105468	-0.04203939097002149	156160	0.8268815559120675
1100000	2251	9216.208163261414	2860.418816009668	3031.525587131441	507.7355127218651	3322.0051726670604	695.2450721354126	500.0219	4.0285234	2220.326089782715	-0.04224150093272328	171840	-0.037600290800054115
1200000	2362	10079.758755207062	2774.362373610846	3137.5291949764373	801.6140098474483	3423.7912823295396	205.63342402601478	528.34296	3.5052679	2898.6887005615235	-0.04049877154640853	187200	0.09495152964515885
1300000	2475	10947.311362981796	2762.3403603114302	3035.38487537916	684.6647875157321	3414.667327499773	192.72767041202883	523.0993	3.1188169	3514.276671447754	-0.04878447573632002	202880	-0.0307610530407616
1400000	2598	11743.536080598831	2118.5403124468908	2028.9749897877045	1024.302899389306	3553.8907637338543	253.24152277461064	552.44293	2.6225743	1310.0862823486327	-0.060515227112919096	218560	0.7268179459920004
1500000	2729	12586.277084827423	2682.6454814974895	3184.4424018344425	896.0818076963412	3683.0336856307504	577.3706682967387	566.2936	1.9233248	2311.7399084472654	-0.04797400070354343	234240	0.5041588113640443
1600000	2852	13476.436455249786	3204.3574896678438	3408.86468920059	601.6328978421886	3756.062855417425	111.30279090522075	593.24854	1.5627493	5020.112518005371	-0.051377510614693166	249920	0.5147961664763734
