steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
1500000	1500	11965.579343795776	2421.442500293992	2445.645607736341	197.25993919543242	2768.2122365964674	1222.827080787728	410.22168	-1.8380121	2474.2276544189453	-0.04297180790454149	234240	0.03531154595164143
1600000	1600	12755.415474891663	2454.044216610951	2465.0542470628984	295.76183485935263	2795.0885555022446	477.37144712006807	414.09122	-2.0619426	2575.3699505615236	-0.045857654847204686	249920	-0.01719687017006155
1700000	1700	13541.555652141571	2341.5368971150406	2361.4558713291112	289.35159473976654	2747.790612827965	-64.06287379479778	412.5513	-2.12493	2431.9828884887697	-0.04912799045443535	265600	0.14540791535582331
1800000	1800	14334.83116531372	2281.7097943537424	2327.0803966807202	356.2820318186998	2633.3597740561318	-22.437372522370858	392.40845	-2.5537255	2488.7338641357424	-0.040100773051381114	280960	0.06955487693495266
1900000	1900	15130.941420078278	2289.2980843163077	2286.2770151510285	96.06895375068828	2581.563108842072	2062.324047896923	385.151	-2.58442	2098.043274230957	-0.04147469537332654	296640	0.025698208874037953
2000000	2000	15920.060527801514	2221.2647107338926	2221.5445454470023	122.28810212276207	2495.4450301584457	1871.8632199603721	382.65643	-2.8718407	2228.478900756836	-0.022447853796184063	312320	0.018582071584032467
2100000	2100	16713.42203092575	2126.9500260476902	2328.5125989823864	617.4428442446349	2722.2532671226413	-195.17538061241223	403.5347	-3.0507407	2283.051266784668	-0.04704909091815353	328000	0.6917421589340109
2200000	2200	17505.08586192131	2404.435524271265	2479.594573693395	376.45937575712037	2891.248816998149	74.50953860241353	413.36993	-3.0188386	2603.493455810547	-0.04821349328383803	343680	0.1393234194255042
2300000	2300	18298.905554056168	805.8774803275046	711.6187375470786	735.5952358481123	2020.6576983716923	-327.06032258416514	80.72891	-3.2422416	1164.3469873046874	-0.06016924593597651	359360	0.8917271400469313
2400000	2400	19082.99530482292	1920.3587101381945	2046.0768199620138	465.8052914182931	2350.3584797597205	-301.3523024376974	347.3181	-3.6319852	1716.708678894043	-0.045429327730089425	374720	0.028256068155604552
2500000	2500	19872.53985095024	2114.9583967091053	2105.5619116358976	121.73317087749396	2449.8607237403776	1747.4840745537178	359.55917	-3.7441068	2100.4693194580077	-0.043967553740367295	390400	0.1083716560994612
2600000	2600	20659.465707063675	1896.2765021908763	1921.9023037275044	214.16719155519766	2238.554909396016	107.24375457000303	332.18088	-3.6074755	1390.8071435546874	-0.04580660756677389	406080	-0.1735326470636387
2700000	2700	21448.733109235764	2025.903748518368	2043.9364271360037	111.92362115313827	2267.416256932618	1721.0744526751696	340.66782	-3.5893507	1218.0562384033203	-0.03576598248444498	421760	0.011734839476689074
2800000	2800	22237.659197330475	2021.200774560631	2108.601014177329	383.5984971090603	2399.8759528648247	-11.244969952044048	355.6449	-3.755243	1942.5511297607422	-0.04740852957591415	437440	0.10402162221597389
2900000	2900	23029.737706422806	1512.7682513666184	1970.7277258918818	805.6173798465658	2269.3118397332914	-386.3022496651503	351.38748	-3.7256231	1875.7787432861328	-0.029252880737185478	453120	0.14295928254627466
3000000	3000	23811.369721651077	1790.1800280323612	2001.0997924547182	599.4412136565185	2408.599962963309	-168.450074706182	341.8435	-3.866779	852.8054998779297	-0.049283424569293854	468480	0.9652959693133722
