steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
100000	100	1052.0259959697723	-83.73809111742825	-56.64608880107074	97.88665959758283	86.42042904972851	-513.398563774072	-20.461555	5.834739	54.87828260421753	-0.03839337173849344	15360	0.7121043885338593
200000	200	2014.0624129772186	422.39366292180404	432.2700391879765	61.737075904048474	522.2821249033487	174.0018133805058	70.993225	4.0721393	95.2140016746521	-0.031305557917803525	31040	0.05849572140998616
300000	300	3074.5597927570343	670.4944542147163	668.3330148872585	42.31522479573149	750.9813405860002	567.3906944069801	109.02506	3.1427896	269.85175567626953	-0.03876568263396621	46720	0.029582862899394158
400000	400	4127.673343658447	801.4886248484019	807.0485953625157	43.54268756671175	885.6464113704612	659.7545795717416	134.78528	2.7328615	267.2381579208374	-0.036752922888845206	62400	0.02198235562177009
500000	500	5171.409967660904	843.3186973896183	853.9079394871748	127.85754040375583	950.2998812782786	-344.7758959109396	148.0989	2.4251797	319.8928372573853	-0.039602091563865544	78080	0.037638229144991264
600000	600	6201.607049226761	901.7325492989052	909.3570039428328	45.42406018454865	993.659715619761	728.2210286597892	150.87437	1.9397435	462.92730178833006	-0.042823856826871634	93440	0.02813133123656497
700000	700	7213.674593448639	945.5300778105743	948.9723192245103	53.946904983655784	1030.832972664705	629.2343810914571	162.5444	1.5672615	396.2134411430359	-0.0340822303853929	109120	0.028956928450166064
800000	800	8220.752983570099	1006.4757329134429	1021.3071877320644	67.32651070151951	1107.6309375837602	702.0362383601963	172.39626	1.3413389	435.12449123382567	-0.040247902339324355	124800	0.018975604642415766
900000	900	9225.272346496582	992.5805002211537	1018.384786144835	148.682763511956	1096.6992545371868	-176.67285684498458	172.10648	1.2573583	442.8568409347534	-0.04137436005286872	140480	0.028517331835158255
1000000	1000	10221.713601112366	1016.6114564137133	1044.8456154239298	177.6881560165465	1152.1661287944537	-257.8132390849982	177.09656	1.008073	457.76320812225345	-0.03783861957490444	156160	0.03123417094540859
1100000	1100	11213.3304002285	1068.8867411594597	1082.2241667088906	125.66441769085458	1157.4270419472684	-123.95826644353687	184.9325	0.53987795	505.69515274047853	-0.04092071533203125	171840	0.031697419421578554
1200000	1200	12204.268314361572	1069.997843539717	1105.2522783652319	219.92972980360312	1207.2470164848044	-333.2665797575172	191.41913	0.17175768	407.3029055404663	-0.03191505955532193	187200	0.34547406580530704
1300000	1300	13202.080857038498	1127.8305889399405	1155.8466073625787	217.39267861051104	1267.842420486553	-371.7538981377338	198.07776	-0.19828321	562.7332453918457	-0.03330588980577886	202880	0.02360086977404907
1400000	1400	14191.727553606033	1132.4368466612111	1133.5369357477325	37.17563982978893	1216.1630202224767	1025.7078700476527	194.15065	-0.22824384	557.2915561676025	-0.04061495875939727	218560	0.030122670846003063
1500000	1500	15183.992075443268	1157.9104336791443	1155.381013342403	40.46513281636909	1256.1571651207332	1064.6152314607891	195.68088	-0.3364988	567.1222630310059	-0.04014884547330439	234240	0.016133075097646055
1600000	1600	16126.174420833588	1213.7184706293785	1214.5218773822048	26.39645128430295	1280.4551346061512	1156.2411157044562	206.71216	-0.65194666	613.0581370162964	-0.037369155157357455	249920	0.01880571457268776
1700000	1700	17059.018379449844	1184.865331937893	1214.7527736587097	231.01338824546465	1289.193282179331	-413.90434770254774	205.61401	-0.5794264	617.9442729568482	-0.0403660387545824	265600	0.028383628383307324
1800000	1800	17984.04161119461	1221.7520855082291	1224.0577340690966	40.165233498784396	1323.3923354943804	1088.4365825359046	206.51878	-0.9638357	606.0491770935058	-0.034983838964253666	280960	0.01452781413965265
1900000	1900	18916.268028259277	1228.2476478701187	1233.3727079445034	32.2337120151536	1286.9750139330845	1143.4360739058068	208.24562	-1.0929021	607.9850329971314	-0.04090896591544151	296640	0.03648652530817198
2000000	2000	19848.16775083542	1201.618072883784	1203.8136169211161	33.8553363242376	1276.9534972495665	1116.8909613215237	205.46559	-1.3186805	612.7358888626098	-0.03951412584632635	312320	0.014132024609085914
